2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 1
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 2
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 3
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 4
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 5
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 6
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 7
2024-10-10 15:19:57,163 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:57,518 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:57,683 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:58,637 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:59,240 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:59,745 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:59,819 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:00,519 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:01,720 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:01,726 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:01,975 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:02,189 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:02,308 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:04,059 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:04,060 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:04,075 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:04,076 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:04,597 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:04,603 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
